comparison,stratum,species,feature,group1,group0,n_studies,total_n_group1,total_n_group0,effect_random,se_random,ci_low,ci_high,z_value,p_value,tau2_reml,q_statistic,q_df,q_p_value,i2_percent,direction,note,q_value,significant_fdr_0_05,abs_effect_random
CRC_vs_Control,All,Ruthenibacterium lactatiformans,rCLR_Ruthenibacterium lactatiformans,CRC,Control,10,671,664,0.38427913253959983,0.07643625021938624,0.2344640821096028,0.5340941829695969,5.027446158552353,4.970549807775924e-07,0.019922227803140423,14.574490300828018,9,0.1033068638820396,38.24826931005138,Higher in CRC,,5.318488294320238e-05,True,0.38427913253959983
CRC_vs_Control,All,Lachnospira pectinoschiza,rCLR_Lachnospira pectinoschiza,CRC,Control,10,671,664,-0.23181220558692509,0.05514624288118849,-0.33989884163405454,-0.12372556953979565,-4.203590189931162,2.627144026293291e-05,0.0,7.575929509142579,9,0.5773804925456536,0.0,Higher in Control,,0.0014055220540669109,True,0.23181220558692509
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,CRC,Control,10,671,664,-0.24698185215135068,0.06290672894184014,-0.37027904087735736,-0.12368466342534401,-3.926159511166056,8.631292803228746e-05,0.005485054076706483,10.586396167186512,9,0.3051274136871094,14.985233332790719,Higher in Control,,0.0030784944331515864,True,0.24698185215135068
CRC_vs_Control,All,Flavonifractor plautii,rCLR_Flavonifractor plautii,CRC,Control,10,671,664,0.19493767839640844,0.05507638487812345,0.08698796403528648,0.3028873927575304,3.5394058420460786,0.000401028803288347,0.0,6.211175626105424,9,0.718611024458595,0.0,Higher in CRC,,0.010727520487963283,True,0.19493767839640844
CRC_vs_Control,All,Odoribacter splanchnicus,rCLR_Odoribacter splanchnicus,CRC,Control,10,671,664,0.23188512205735248,0.06759462784561335,0.09939965147995034,0.36437059263475463,3.430525907872145,0.0006024124430544229,0.009894661103702612,12.535247764828624,9,0.18478764593120714,28.20245623503203,Higher in CRC,,0.012891626281364648,True,0.23188512205735248
CRC_vs_Control,All,Roseburia faecis,rCLR_Roseburia faecis,CRC,Control,10,671,664,-0.1792913685307324,0.05509603598028362,-0.28727959905208833,-0.07130313800937652,-3.254160945351725,0.0011372782759612324,0.0,9.975990601461598,9,0.3524324118052775,9.78339535843793,Higher in Control,,0.02028146258797531,True,0.1792913685307324
CRC_vs_Control,All,Lachnospira eligens,rCLR_Lachnospira eligens,CRC,Control,10,671,664,-0.2573189216316552,0.08138308663912006,-0.41682977144433053,-0.09780807181897991,-3.161823079686001,0.0015678478872010885,0.027027583428661586,16.366229148973712,9,0.05961659342962081,45.008713259007685,Higher in Control,,0.02396567484721664,True,0.2573189216316552
CRC_vs_Control,All,Parabacteroides distasonis,rCLR_Parabacteroides distasonis,CRC,Control,10,671,664,0.1750530669168337,0.05641439464408404,0.06448085341442898,0.2856252804192384,3.1029858251823117,0.001915788161081405,0.0007816070079451317,10.406841316916305,9,0.31856362235062197,13.51842767727693,Higher in CRC,,0.025623666654463792,True,0.1750530669168337
CRC_vs_Control,All,Bacteroides fragilis,rCLR_Bacteroides fragilis,CRC,Control,10,671,664,0.22166079342328446,0.07436070517340401,0.0759138112834126,0.3674077755631563,2.9808861132554734,0.002874156584688152,0.01768207844174047,13.555405824605574,9,0.13904243010776704,33.605824005185205,Higher in CRC,,0.03417052828462581,True,0.22166079342328446
CRC_vs_Control,Male,Ruthenibacterium lactatiformans,rCLR_Ruthenibacterium lactatiformans,CRC,Control,10,426,371,0.4167075885893412,0.07615554599047465,0.26744271844801093,0.5659724587306715,5.4717956935331005,4.45498252850122e-08,0.0031701666302220493,5.2498378740171745,9,0.8120080561486042,0.0,Higher in CRC,,4.766831305496306e-06,True,0.4167075885893412
CRC_vs_Control,Male,Lachnospira eligens,rCLR_Lachnospira eligens,CRC,Control,10,426,371,-0.33422380867849877,0.0721124649589327,-0.47556423999800684,-0.1928833773589907,-4.634757789361878,3.573556510281508e-06,0.0,8.261124474883868,9,0.508060555948711,0.0,Higher in Control,,0.0001911852733000607,True,0.33422380867849877
CRC_vs_Control,Male,Odoribacter splanchnicus,rCLR_Odoribacter splanchnicus,CRC,Control,10,426,371,0.2806156912717633,0.07204871086603493,0.13940021797433483,0.42183116456919173,3.8948051658208174,9.827769279833703e-05,0.0,11.828644447292398,9,0.22314282365669358,23.91351316625195,Higher in CRC,,0.0035052377098073544,True,0.2806156912717633
CRC_vs_Control,Male,Lachnospira pectinoschiza,rCLR_Lachnospira pectinoschiza,CRC,Control,10,426,371,-0.25828168251667916,0.07182969162102348,-0.3990678780938852,-0.11749548693947312,-3.595750958801053,0.0003234571320452605,0.0,4.818412058377521,9,0.8498416786761003,0.0,Higher in Control,,0.008652478282210718,True,0.25828168251667916
CRC_vs_Control,Male,Eubacterium ventriosum,rCLR_Eubacterium ventriosum,CRC,Control,10,426,371,-0.3277836503705257,0.09868267076138396,-0.5212016850628383,-0.13436561567821315,-3.3215928170723212,0.0008950520724463177,0.032721308073226235,13.326089015746543,9,0.1483976412470546,32.463305705332566,Higher in Control,,0.015669289512976893,True,0.3277836503705257
CRC_vs_Control,Male,Fusicatenibacter saccharivorans,rCLR_Fusicatenibacter saccharivorans,CRC,Control,10,426,371,-0.23685407105254436,0.07184437500839498,-0.37766904606899854,-0.0960390960360902,-3.2967656970342922,0.0009780505606657812,0.0,7.649507176431396,9,0.5698161810189872,0.0,Higher in Control,,0.015669289512976893,True,0.23685407105254436
CRC_vs_Control,Male,Roseburia faecis,rCLR_Roseburia faecis,CRC,Control,10,426,371,-0.2681891397606379,0.08167664402332814,-0.4282753620463611,-0.10810291747491477,-3.283547493504249,0.0010250937064564323,0.008852841235742148,16.49249225983179,9,0.05728260205831741,45.42971518064673,Higher in Control,,0.015669289512976893,True,0.2681891397606379
